date,close
2025-09-08,145.52
2025-09-09,145.375
2025-09-10,145.435
2025-09-11,145.38
2025-09-12,144.905
2025-09-15,145.16
2025-09-16,145.165
2025-09-17,145.25
2025-09-18,145.115
2025-09-19,144.86
2025-09-22,144.89
2025-09-23,144.825
2025-09-24,144.825
2025-09-25,144.53
2025-09-26,144.745
2025-09-29,145.06
2025-09-30,145.04
2025-10-01,145.15
2025-10-02,145.215
2025-10-03,145.25
2025-10-06,145.095
2025-10-07,145.14
2025-10-08,145.555
2025-10-09,145.33
2025-10-10,145.78
2025-10-13,145.905
2025-10-14,146.185
2025-10-15,146.605
2025-10-16,146.685
2025-10-17,146.55
2025-10-20,146.535
2025-10-21,146.78
2025-10-22,146.695
2025-10-23,146.545
2025-10-24,146.13
2025-10-27,146.235
2025-10-28,146.195
2025-10-29,146.33
2025-10-30,146.225
2025-10-31,146.345
2025-11-03,146.13
2025-11-04,146.185
2025-11-05,146.075
2025-11-06,146.17
2025-11-07,146.09
2025-11-10,146.165
2025-11-11,146.26
2025-11-12,146.435
2025-11-13,146.125
2025-11-14,145.89
2025-11-17,145.96
2025-11-18,145.88
2025-11-19,146.025
2025-11-20,145.88
2025-11-21,146.07
2025-11-24,146.135
2025-11-25,146.32
2025-11-26,146.35
2025-11-27,146.415
2025-11-28,146.37
2025-12-01,145.95
2025-12-02,145.895
2025-12-03,145.97
2025-12-04,145.77
2025-12-05,145.685
2025-12-08,145
2025-12-09,145.155
2025-12-10,145.07
2025-12-11,145.255
2025-12-12,145.145
2025-12-15,145.275
2025-12-16,145.415
2025-12-17,145.24
2025-12-18,145.52
2025-12-19,145.22
2025-12-22,145.115
2025-12-23,145.445
2025-12-29,145.935
2025-12-30,145.68
2026-01-02,145.38
2026-01-05,145.58
2026-01-07,146.095
2026-01-08,146.01
2026-01-09,145.995
2026-01-12,146.23
2026-01-13,146.14
2026-01-14,146.385
2026-01-15,144.465
2026-01-16,144.3
2026-01-19,144.46
2026-01-20,144.305
2026-01-21,144.18
2026-01-22,144.32
2026-01-23,144.24
2026-01-26,144.545
2026-01-27,144.565
2026-01-28,144.745
2026-01-29,144.97
2026-01-30,144.865
2026-02-02,144.635
2026-02-03,144.53
2026-02-04,144.74
2026-02-05,144.835
2026-02-06,144.87
2026-02-09,144.985
2026-02-10,145.28
2026-02-11,145.28
2026-02-12,145.535
2026-02-13,145.585
2026-02-16,145.635
2026-02-17,145.765
2026-02-18,145.775
2026-02-19,145.78
2026-02-20,145.78
2026-02-23,146.025
2026-02-24,146.13
2026-02-25,146.215
2026-02-26,146.23
2026-02-27,146.525
2026-03-02,145.98
2026-03-03,144.985
2026-03-04,145.59
2026-03-05,144.505
2026-03-06,143.96
2026-03-09,143.975
2026-03-10,144.635
2026-03-11,143.67
2026-03-12,143.205
2026-03-13,143.02
2026-03-17,143.865
2026-03-18,143.365
2026-03-19,142.86
2026-03-20,141.95
2026-03-23,142.51
2026-03-24,142.18
2026-03-25,142.79
2026-03-26,141.735
2026-04-02,142.74
2026-04-07,141.89
2026-04-30,143.06
2026-05-04,142.45
2026-06-04,143.73
2026-06-05,143.505
2026-06-08,143.315
2026-06-10,143.25
2026-06-11,143.645
2026-06-12,144.08
2026-06-15,144.53
2026-06-16,144.625
2026-06-17,144.715
2026-06-18,144.66
2026-06-19,144.235
2026-06-22,144.51
2026-06-23,144.77
2026-06-24,145.045
2026-06-25,145.11
2026-06-26,145.26
2026-06-29,145.15
2026-06-30,145.18
2026-07-01,145.125
2026-07-02,145.06
2026-07-03,144.78
2026-07-06,144.72
2026-07-07,144.375
2026-07-08,143.41
2026-07-09,143.84
2026-07-10,143.99
2026-07-13,143.585
2026-07-14,143.535
2026-07-15,143.485
2026-07-16,141.375
2026-07-17,141.27
2026-07-20,141.255
2026-07-21,141.09
2026-07-22,140.9
2026-07-23,140.45
2026-07-24,140.995
2026-07-27,141.405
2026-07-28,141.665
2026-07-29,141.16
2026-07-30,141.305
2026-07-31,141.01
2026-08-03,141.555
2026-08-04,141.935
2026-08-05,142.05
2026-08-06,141.79
2026-08-07,141.845
2026-08-10,141.385
2026-08-11,141.495
2026-08-12,141.545
2026-08-13,141.79
2026-08-14,141.255
2026-08-17,141.175
2026-08-18,140.7
2026-08-19,140.695
2026-08-20,140.745
2026-08-21,140.765
2026-08-24,140.76
2026-08-25,141.34
2026-08-26,141.09
2026-08-28,140.72
2026-08-31,140.345
2026-09-01,140.205
