date,close
2025-09-08,99.54
2025-09-09,99.755
2025-09-10,100.04
2025-09-12,100.07
2025-09-15,100.25
2025-09-17,100.08
2025-09-18,99.36
2025-09-19,100.57
2025-09-22,101.97
2025-09-23,103.13
2025-09-24,102.66
2025-09-25,102.86
2025-09-26,103.87
2025-09-30,105.18
2025-10-03,106.44
2025-10-08,112
2025-10-09,111.61
2025-10-10,111.17
2025-10-13,113.86
2025-10-14,114.84
2025-10-15,115.69
2025-10-16,117.63
2025-10-17,117.21
2025-10-20,119.89
2025-10-21,114.31
2025-10-22,111.64
2025-10-23,114.7
2025-10-24,114.08
2025-10-27,110.2
2025-10-28,109.05
2025-10-29,110.18
2025-10-30,111.16
2025-10-31,111.1
2025-11-03,111.6
2025-11-04,111.15
2025-11-05,111.51
2025-11-06,110.85
2025-11-07,111.67
2025-11-10,114
2025-11-11,114.03
2025-11-12,116.33
2025-11-13,116.11
2025-11-14,113.42
2025-11-17,112.85
2025-11-18,112.74
2025-11-19,113.6
2025-11-20,113.3
2025-11-21,113.87
2025-11-24,114.34
2025-11-25,115.11
2025-11-26,115.42
2025-11-27,115.18
2025-11-28,116.7
2025-12-02,115.92
2025-12-04,116.46
2025-12-05,116.48
2025-12-09,116.03
2025-12-10,116.42
2025-12-11,115.96
2025-12-12,117.29
2025-12-16,117.38
2025-12-17,117.5
2025-12-18,118.81
2025-12-19,119.29
2025-12-23,121.75
2025-12-29,118.64
2025-12-30,120.37
2026-01-02,118.22
2026-01-05,121.98
2026-01-07,122.8
2026-01-08,123.06
2026-01-09,124.54
2026-01-13,127.19
2026-01-14,127.14
2026-01-15,127.45
2026-01-16,127.36
2026-01-19,129.03
2026-01-20,130.04
2026-01-21,133.06
2026-01-22,133.56
2026-01-23,136.24
2026-01-27,136.64
2026-01-28,142.36
2026-01-29,141.69
2026-01-30,134.41
2026-02-02,127.06
2026-02-03,135.65
2026-02-04,134.11
2026-02-05,132.24
2026-02-06,134.27
2026-02-09,137.08
2026-02-10,135.51
2026-02-11,137.31
2026-02-12,133.71
2026-02-13,135.83
2026-02-16,135.32
2026-02-17,132.54
2026-02-18,136.09
2026-02-19,136.64
2026-02-20,138.38
2026-02-24,140.25
2026-02-25,141.79
2026-02-26,141.3
2026-02-27,142.32
2026-03-02,145.49
2026-03-03,141.86
2026-03-04,142.34
2026-03-05,140.59
2026-03-06,142.34
2026-03-09,141.51
2026-03-10,144.38
2026-03-11,143.61
2026-03-12,143.06
2026-03-13,141.83
2026-03-16,139.35
2026-03-17,139.48
2026-03-18,136.11
2026-03-19,127.91
2026-03-20,127.55
2026-03-23,121.43
2026-03-24,122.43
2026-03-25,126.56
2026-03-26,122.44
2026-03-27,126.05
2026-03-30,127.64
2026-03-31,128.8
2026-04-02,130.1
2026-04-07,129.17
2026-04-08,130.87
2026-04-09,131.75
2026-04-10,130.77
2026-04-13,129.4
2026-04-14,131.12
2026-04-15,130.8
2026-04-16,131.15
2026-04-17,132.66
2026-04-20,131.13
2026-04-21,129.79
2026-04-22,129.75
2026-04-23,129.97
2026-04-24,129.65
2026-04-27,128.23
2026-04-28,125.6
2026-04-29,125.08
2026-04-30,126.71
2026-05-04,124.62
2026-05-05,125.7
2026-05-06,128.36
2026-05-07,129.66
2026-05-08,128.71
2026-05-12,127.78
2026-05-13,128.9
2026-05-14,129.1
2026-05-15,125.76
2026-05-18,125.34
2026-05-19,124.79
2026-05-20,125.43
2026-05-21,125.16
2026-05-22,125.31
2026-05-25,126.23
2026-05-26,124.71
2026-05-27,122.65
2026-05-28,123.7
2026-05-29,126.02
2026-06-01,123.83
2026-06-02,124.58
2026-06-03,123.04
2026-06-04,123.74
2026-06-05,121.12
2026-06-08,120.77
2026-06-09,118.94
2026-06-10,114.82
2026-06-11,113.87
2026-06-12,117.21
2026-06-15,120.67
2026-06-16,119.87
2026-06-17,120.84
2026-06-18,118.57
2026-06-19,116.43
2026-06-22,117.61
2026-06-23,116.75
2026-06-24,113.5
2026-06-25,113.68
2026-06-26,115.13
2026-06-29,113.23
2026-06-30,113.48
2026-07-01,115.23
2026-07-02,116.04
2026-07-03,117.14
2026-07-06,116.9
2026-07-07,116.63
2026-07-08,113.7
2026-07-09,116.1
2026-07-10,115.43
2026-07-13,113.29
2026-07-14,114.66
2026-07-15,113.84
2026-07-16,112.77
2026-07-17,112.79
2026-07-20,113.14
2026-07-21,114.99
2026-07-22,117.19
2026-07-23,114.53
2026-07-24,115.11
2026-07-27,115.16
2026-07-28,113.84
2026-07-29,113.36
2026-07-30,114.45
2026-07-31,112.93
2026-08-03,112.81
2026-08-04,113.9
2026-08-05,118.6
2026-08-06,118.6
2026-08-07,121.1
2026-08-10,121.2
2026-08-11,122.01
2026-08-12,123.18
2026-08-13,121.66
2026-08-14,121.83
2026-08-17,122.79
2026-08-18,121.07
2026-08-19,123.69
2026-08-20,124.62
2026-08-21,126.88
2026-08-24,128.82
2026-08-25,128.2
2026-08-26,126.9
2026-08-27,126.91
2026-08-28,126.33
2026-08-31,122.68
2026-09-01,121.06
2026-09-02,121.26
2026-09-03,124.56
